Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate39.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-18 15:54:17 PM EST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOSIGNAL,EXPFAIL
A6,CO2_T3_R1_Ss_S3-31,C,UNKNOWN,VIC,NFQ-MGB,27.0973968506,27.2447299957,0.2083605379,,,,0,0.02,1,3,25,,N,N,N,N,N
A6,CO2_T3_R1_Ss_S3-31,D,UNKNOWN,FAM,NFQ-MGB,26.9456615448,26.7190971375,0.3204104602,,,,1,0.02,1,3,25,,N,N,N,N,N
A7,CO2_T3_R1_Ss_S4-5,C,UNKNOWN,VIC,NFQ-MGB,26.6452636719,26.5754699707,0.0987018496,,,,0,0.02,1,3,25,,N,N,N,N,N
A7,CO2_T3_R1_Ss_S4-5,D,UNKNOWN,FAM,NFQ-MGB,25.1520442963,25.0438308716,0.1530368924,,,,1,0.02,1,3,23,,N,N,N,N,N
A8,CO2_T3_R1_Ss_S4-23,C,UNKNOWN,VIC,NFQ-MGB,25.7309532166,25.7970256805,0.0934405774,,,,0,0.02,1,3,24,,N,N,N,N,N
A8,CO2_T3_R1_Ss_S4-23,D,UNKNOWN,FAM,NFQ-MGB,24.4697799683,24.4333248138,0.0515553728,,,,1,0.02,1,3,22,,N,N,N,N,N
A9,CO2_T3_R1_Ss_S5-4,C,UNKNOWN,VIC,NFQ-MGB,32.8107872009,34.0631866455,1.7711576223,,,,0,0.02,1,3,32,,N,Y,N,N,N
A9,CO2_T3_R1_Ss_S5-4,D,UNKNOWN,FAM,NFQ-MGB,25.9022846222,25.9442634583,0.0593656898,,,,1,0.02,1,3,24,,N,Y,N,N,N
A10,CO2_T3_R1_Ss_S5-20,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
A10,CO2_T3_R1_Ss_S5-20,D,UNKNOWN,FAM,NFQ-MGB,25.366853714,25.2217521667,0.2052045763,,,,1,0.02,1,3,23,,N,N,N,N,Y
A11,CO2_T3_R1_Ss_S6-4,C,UNKNOWN,VIC,NFQ-MGB,33.0256996155,33.6245193481,0.8468616605,,,,0,0.02,1,3,32,,N,Y,N,N,N
A11,CO2_T3_R1_Ss_S6-4,D,UNKNOWN,FAM,NFQ-MGB,25.6340122223,25.5886077881,0.0642129183,,,,1,0.02,1,3,24,,N,Y,N,N,N
A12,CO2_T3_R1_Ss_S6-19,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.597984314,,,,,0,0.02,1,3,39,,N,Y,N,N,Y
A12,CO2_T3_R1_Ss_S6-19,D,UNKNOWN,FAM,NFQ-MGB,25.2949047089,24.9306335449,0.5151572227,,,,1,0.02,1,3,23,,N,Y,N,N,Y
B1,CO2_T3_R1_Ss_S1-21,C,UNKNOWN,VIC,NFQ-MGB,26.8483886719,27.1693534851,0.4539127946,,,,0,0.02,1,3,25,,N,N,N,N,N
B1,CO2_T3_R1_Ss_S1-21,D,UNKNOWN,FAM,NFQ-MGB,25.8524951935,26.069393158,0.3067413867,,,,1,0.02,1,3,24,,N,N,N,N,N
B2,CO2_T3_R1_Ss_S1-29,C,UNKNOWN,VIC,NFQ-MGB,27.782283783,27.8290863037,0.0661874115,,,,0,0.02,1,3,26,,N,N,N,N,N
B2,CO2_T3_R1_Ss_S1-29,D,UNKNOWN,FAM,NFQ-MGB,25.5201721191,25.5626716614,0.0601047762,,,,1,0.02,1,3,23,,N,N,N,N,N
B3,CO2_T3_R1_Ss_S2-6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
B3,CO2_T3_R1_Ss_S2-6,D,UNKNOWN,FAM,NFQ-MGB,24.5725059509,24.6816940308,0.1544139087,,,,1,0.02,1,3,23,,N,N,Y,N,Y
B4,CO2_T3_R1_Ss_S2-19,C,UNKNOWN,VIC,NFQ-MGB,33.9868927002,33.230884552,1.0691570044,,,,0,0.02,1,3,34,,N,Y,N,N,N
B4,CO2_T3_R1_Ss_S2-19,D,UNKNOWN,FAM,NFQ-MGB,25.0270347595,24.990852356,0.0511709936,,,,1,0.02,1,3,23,,N,Y,N,N,N
B5,CO2_T3_R1_Ss_S3-22,C,UNKNOWN,VIC,NFQ-MGB,27.6894645691,27.4684524536,0.312556982,,,,0,0.02,1,3,26,,N,N,N,N,N
B5,CO2_T3_R1_Ss_S3-22,D,UNKNOWN,FAM,NFQ-MGB,26.8231639862,26.7640075684,0.0836598054,,,,1,0.02,1,3,25,,N,N,N,N,N
B6,CO2_T3_R1_Ss_S3-31,C,UNKNOWN,VIC,NFQ-MGB,27.3920631409,27.2447299957,0.2083605379,,,,0,0.02,1,3,26,,N,N,N,N,N
B6,CO2_T3_R1_Ss_S3-31,D,UNKNOWN,FAM,NFQ-MGB,26.4925327301,26.7190971375,0.3204104602,,,,1,0.02,1,3,24,,N,N,N,N,N
B7,CO2_T3_R1_Ss_S4-5,C,UNKNOWN,VIC,NFQ-MGB,26.5056781769,26.5754699707,0.0987018496,,,,0,0.02,1,3,25,,N,N,N,N,N
B7,CO2_T3_R1_Ss_S4-5,D,UNKNOWN,FAM,NFQ-MGB,24.9356174469,25.0438308716,0.1530368924,,,,1,0.02,1,3,23,,N,N,N,N,N
B8,CO2_T3_R1_Ss_S4-23,C,UNKNOWN,VIC,NFQ-MGB,25.8630981445,25.7970256805,0.0934405774,,,,0,0.02,1,3,24,,N,N,N,N,N
B8,CO2_T3_R1_Ss_S4-23,D,UNKNOWN,FAM,NFQ-MGB,24.3968696594,24.4333248138,0.0515553728,,,,1,0.02,1,3,22,,N,N,N,N,N
B9,CO2_T3_R1_Ss_S5-4,C,UNKNOWN,VIC,NFQ-MGB,35.3155822754,34.0631866455,1.7711576223,,,,0,0.02,1,3,35,,N,Y,N,N,N
B9,CO2_T3_R1_Ss_S5-4,D,UNKNOWN,FAM,NFQ-MGB,25.986240387,25.9442634583,0.0593656898,,,,1,0.02,1,3,24,,N,Y,N,N,N
B10,CO2_T3_R1_Ss_S5-20,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
B10,CO2_T3_R1_Ss_S5-20,D,UNKNOWN,FAM,NFQ-MGB,25.0766506195,25.2217521667,0.2052045763,,,,1,0.02,1,3,23,,N,N,N,N,Y
B11,CO2_T3_R1_Ss_S6-4,C,UNKNOWN,VIC,NFQ-MGB,34.2233428955,33.6245193481,0.8468616605,,,,0,0.02,1,3,33,,N,Y,N,N,N
B11,CO2_T3_R1_Ss_S6-4,D,UNKNOWN,FAM,NFQ-MGB,25.5432014465,25.5886077881,0.0642129183,,,,1,0.02,1,3,24,,N,Y,N,N,N
B12,CO2_T3_R1_Ss_S6-19,C,UNKNOWN,VIC,NFQ-MGB,32.597984314,32.597984314,,,,,0,0.02,1,3,27,,N,Y,N,N,N
B12,CO2_T3_R1_Ss_S6-19,D,UNKNOWN,FAM,NFQ-MGB,24.566362381,24.9306335449,0.5151572227,,,,1,0.02,1,3,22,,N,Y,N,N,N
C1,CO2_T3_R1_Ss_S1-21,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2694473267,20.2250404358,0.0627994761,,,,1,0.02,1,3,17,,N,N,N,N,N
C2,CO2_T3_R1_Ss_S1-29,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1287746429,20.1908836365,0.0878367275,,,,1,0.02,1,3,17,,N,N,N,N,N
C3,CO2_T3_R1_Ss_S2-6,Ssid,UNKNOWN,FAM,NFQ-MGB,21.4591026306,21.5057067871,0.0659082308,,,,1,0.02,1,3,19,,N,N,N,N,N
C4,CO2_T3_R1_Ss_S2-19,Ssid,UNKNOWN,FAM,NFQ-MGB,21.7167816162,21.6978302002,0.0268013496,,,,1,0.02,1,3,19,,N,N,N,N,N
C5,CO2_T3_R1_Ss_S3-22,Ssid,UNKNOWN,FAM,NFQ-MGB,23.6980323792,23.6774597168,0.0290954877,,,,1,0.02,1,3,21,,N,N,N,N,N
C6,CO2_T3_R1_Ss_S3-31,Ssid,UNKNOWN,FAM,NFQ-MGB,23.3193950653,23.3427600861,0.0330431275,,,,1,0.02,1,3,21,,N,N,N,N,N
C7,CO2_T3_R1_Ss_S4-5,Ssid,UNKNOWN,FAM,NFQ-MGB,22.7947463989,22.7387542725,0.0791861713,,,,1,0.02,1,3,20,,N,N,N,N,N
C8,CO2_T3_R1_Ss_S4-23,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5939064026,21.5765991211,0.0244775414,,,,1,0.02,1,3,19,,N,N,N,N,N
C9,CO2_T3_R1_Ss_S5-4,Ssid,UNKNOWN,FAM,NFQ-MGB,24.8220939636,24.7467422485,0.1065620705,,,,1,0.02,1,3,23,,N,N,N,N,N
C10,CO2_T3_R1_Ss_S5-20,Ssid,UNKNOWN,FAM,NFQ-MGB,25.1922931671,25.0783939362,0.1610778421,,,,1,0.02,1,3,23,,N,N,N,N,N
C11,CO2_T3_R1_Ss_S6-4,Ssid,UNKNOWN,FAM,NFQ-MGB,25.1780605316,24.9702339172,0.2939112186,,,,1,0.02,1,3,22,,N,N,N,N,N
C12,CO2_T3_R1_Ss_S6-19,Ssid,UNKNOWN,FAM,NFQ-MGB,23.2688083649,23.2646827698,0.0058344724,,,,1,0.02,1,3,20,,N,N,N,N,N
D1,CO2_T3_R1_Ss_S1-21,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1806354523,20.2250404358,0.0627994761,,,,1,0.02,1,3,17,,N,N,N,N,N
D2,CO2_T3_R1_Ss_S1-29,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2529945374,20.1908836365,0.0878367275,,,,1,0.02,1,3,18,,N,N,N,N,N
D3,CO2_T3_R1_Ss_S2-6,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5523109436,21.5057067871,0.0659082308,,,,1,0.02,1,3,19,,N,N,N,N,N
D4,CO2_T3_R1_Ss_S2-19,Ssid,UNKNOWN,FAM,NFQ-MGB,21.6788787842,21.6978302002,0.0268013496,,,,1,0.02,1,3,19,,N,N,N,N,N
D5,CO2_T3_R1_Ss_S3-22,Ssid,UNKNOWN,FAM,NFQ-MGB,23.6568851471,23.6774597168,0.0290954877,,,,1,0.02,1,3,21,,N,N,N,N,N
D6,CO2_T3_R1_Ss_S3-31,Ssid,UNKNOWN,FAM,NFQ-MGB,23.3661251068,23.3427600861,0.0330431275,,,,1,0.02,1,3,21,,N,N,N,N,N
D7,CO2_T3_R1_Ss_S4-5,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6827602386,22.7387542725,0.0791861713,,,,1,0.02,1,3,20,,N,N,N,N,N
D8,CO2_T3_R1_Ss_S4-23,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5592899323,21.5765991211,0.0244775414,,,,1,0.02,1,3,19,,N,N,N,N,N
D9,CO2_T3_R1_Ss_S5-4,Ssid,UNKNOWN,FAM,NFQ-MGB,24.6713924408,24.7467422485,0.1065620705,,,,1,0.02,1,3,22,,N,N,N,N,N
D10,CO2_T3_R1_Ss_S5-20,Ssid,UNKNOWN,FAM,NFQ-MGB,24.9644947052,25.0783939362,0.1610778421,,,,1,0.02,1,3,23,,N,N,N,N,N
D11,CO2_T3_R1_Ss_S6-4,Ssid,UNKNOWN,FAM,NFQ-MGB,24.7624073029,24.9702339172,0.2939112186,,,,1,0.02,1,3,22,,N,N,N,N,N
D12,CO2_T3_R1_Ss_S6-19,Ssid,UNKNOWN,FAM,NFQ-MGB,23.2605571747,23.2646827698,0.0058344724,,,,1,0.02,1,3,21,,N,N,N,N,N
E1,CO2_T3_R2_Ss_S1-3,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4774303436,20.3482723236,0.1826570183,,,,1,0.02,1,3,18,,N,N,N,N,N
E2,CO2_T3_R2_Ss_S1-20,Ssid,UNKNOWN,FAM,NFQ-MGB,20.5305652618,20.4738941193,0.0801450983,,,,1,0.02,1,3,18,,N,N,N,N,N
E3,CO2_T3_R2_Ss_S2-5,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5200195313,21.5824966431,0.0883559808,,,,1,0.02,1,3,19,,N,N,N,N,N
E4,CO2_T3_R2_Ss_S2-27,Ssid,UNKNOWN,FAM,NFQ-MGB,20.9215869904,21.1398525238,0.3086740673,,,,1,0.02,1,3,18,,N,N,N,N,N
E5,CO2_T3_R2_Ss_S3-15,Ssid,UNKNOWN,FAM,NFQ-MGB,23.5665798187,23.6484718323,0.1158127934,,,,1,0.02,1,3,21,,N,N,N,N,N
E6,CO2_T3_R2_Ss_S3-24,Ssid,UNKNOWN,FAM,NFQ-MGB,23.1158466339,23.1773109436,0.0869236588,,,,1,0.02,1,3,21,,N,N,N,N,N
E7,CO2_T3_R2_Ss_S4-6,Ssid,UNKNOWN,FAM,NFQ-MGB,21.7533683777,21.8448791504,0.1294144243,,,,1,0.02,1,3,19,,N,N,N,N,N
E8,CO2_T3_R2_Ss_S4-20,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3648853302,21.3476524353,0.0243696459,,,,1,0.02,1,3,19,,N,N,N,N,N
E9,CO2_T3_R2_Ss_S5-16,Ssid,UNKNOWN,FAM,NFQ-MGB,24.5926456451,24.4792633057,0.1603481919,,,,1,0.02,1,3,21,,N,N,N,N,N
E10,CO2_T3_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,13.4790735245,11.8163738251,2.35141325,,,,1,0.02,1,3,39,,N,Y,N,N,Y
E11,CO2_T3_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,11.8163738251,2.35141325,,,,1,0.02,1,3,39,,Y,N,N,Y,Y
E12,CO2_T3_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,11.8163738251,2.35141325,,,,1,0.02,1,3,39,,Y,N,N,Y,Y
F1,CO2_T3_R2_Ss_S1-3,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2191143036,20.3482723236,0.1826570183,,,,1,0.02,1,3,18,,N,N,N,N,N
F2,CO2_T3_R2_Ss_S1-20,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4172229767,20.4738941193,0.0801450983,,,,1,0.02,1,3,18,,N,N,N,N,N
F3,CO2_T3_R2_Ss_S2-5,Ssid,UNKNOWN,FAM,NFQ-MGB,21.6449737549,21.5824966431,0.0883559808,,,,1,0.02,1,3,19,,N,N,N,N,N
F4,CO2_T3_R2_Ss_S2-27,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3581180573,21.1398525238,0.3086740673,,,,1,0.02,1,3,19,,N,N,N,N,N
F5,CO2_T3_R2_Ss_S3-15,Ssid,UNKNOWN,FAM,NFQ-MGB,23.7303638458,23.6484718323,0.1158127934,,,,1,0.02,1,3,21,,N,N,N,N,N
F6,CO2_T3_R2_Ss_S3-24,Ssid,UNKNOWN,FAM,NFQ-MGB,23.2387752533,23.1773109436,0.0869236588,,,,1,0.02,1,3,21,,N,N,N,N,N
F7,CO2_T3_R2_Ss_S4-6,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9363880157,21.8448791504,0.1294144243,,,,1,0.02,1,3,20,,N,N,N,N,N
F8,CO2_T3_R2_Ss_S4-20,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3304214478,21.3476524353,0.0243696459,,,,1,0.02,1,3,19,,N,N,N,N,N
F9,CO2_T3_R2_Ss_S5-16,Ssid,UNKNOWN,FAM,NFQ-MGB,24.3658790588,24.4792633057,0.1603481919,,,,1,0.02,1,3,20,,N,N,N,N,N
F10,CO2_T3_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,10.153673172,11.8163738251,2.35141325,,,,1,0.02,1,3,22,,Y,Y,N,N,N
F11,CO2_T3_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,11.8163738251,2.35141325,,,,1,0.02,1,3,38,,Y,N,N,Y,Y
F12,CO2_T3_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,11.8163738251,2.35141325,,,,1,0.02,1,3,39,,Y,N,N,Y,Y
G1,CO2_T3_R2_Ss_S1-3,C,UNKNOWN,VIC,NFQ-MGB,25.0967884064,25.5240707397,0.6042698026,,,,0,0.02,1,3,23,,N,Y,N,N,N
G1,CO2_T3_R2_Ss_S1-3,D,UNKNOWN,FAM,NFQ-MGB,29.9700698853,30.7985858917,1.1716985703,,,,1,0.02,1,3,28,,N,Y,N,N,N
G2,CO2_T3_R2_Ss_S1-20,C,UNKNOWN,VIC,NFQ-MGB,27.2952575684,27.4144935608,0.168623805,,,,0,0.02,1,3,26,,N,N,N,N,N
G2,CO2_T3_R2_Ss_S1-20,D,UNKNOWN,FAM,NFQ-MGB,25.7834720612,26.0290603638,0.3473156691,,,,1,0.02,1,3,24,,N,N,N,N,N
G3,CO2_T3_R2_Ss_S2-5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
G3,CO2_T3_R2_Ss_S2-5,D,UNKNOWN,FAM,NFQ-MGB,24.4916877747,24.7099952698,0.3087320626,,,,1,0.02,1,3,22,,N,N,Y,N,Y
G4,CO2_T3_R2_Ss_S2-27,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
G4,CO2_T3_R2_Ss_S2-27,D,UNKNOWN,FAM,NFQ-MGB,25.220331192,25.2152271271,0.007218238,,,,1,0.02,1,3,23,,N,N,Y,N,Y
G5,CO2_T3_R2_Ss_S3-15,C,UNKNOWN,VIC,NFQ-MGB,27.6173057556,27.3997116089,0.3077245951,,,,0,0.02,1,3,26,,N,N,N,N,N
G5,CO2_T3_R2_Ss_S3-15,D,UNKNOWN,FAM,NFQ-MGB,26.7527389526,26.8184776306,0.092968531,,,,1,0.02,1,3,25,,N,N,N,N,N
G6,CO2_T3_R2_Ss_S3-24,C,UNKNOWN,VIC,NFQ-MGB,28.3389034271,28.501953125,0.230587095,,,,0,0.02,1,3,27,,N,N,N,N,N
G6,CO2_T3_R2_Ss_S3-24,D,UNKNOWN,FAM,NFQ-MGB,26.8516616821,26.7412338257,0.1561699212,,,,1,0.02,1,3,25,,N,N,N,N,N
G7,CO2_T3_R2_Ss_S4-6,C,UNKNOWN,VIC,NFQ-MGB,25.460735321,25.4671993256,0.0091414824,,,,0,0.02,1,3,24,,N,N,N,N,N
G7,CO2_T3_R2_Ss_S4-6,D,UNKNOWN,FAM,NFQ-MGB,25.2897586823,25.1245727539,0.2336068302,,,,1,0.02,1,3,23,,N,N,N,N,N
G8,CO2_T3_R2_Ss_S4-20,C,UNKNOWN,VIC,NFQ-MGB,27.6494140625,27.5592021942,0.1275788546,,,,0,0.02,1,3,26,,N,N,N,N,N
G8,CO2_T3_R2_Ss_S4-20,D,UNKNOWN,FAM,NFQ-MGB,23.6778850555,23.6980857849,0.0285694934,,,,1,0.02,1,3,22,,N,N,N,N,N
G9,CO2_T3_R2_Ss_S5-16,C,UNKNOWN,VIC,NFQ-MGB,31.8480129242,31.2696647644,0.8179064393,,,,0,0.02,1,3,30,,N,Y,N,N,N
G9,CO2_T3_R2_Ss_S5-16,D,UNKNOWN,FAM,NFQ-MGB,24.1622028351,24.2340278625,0.1015745774,,,,1,0.02,1,3,22,,N,Y,N,N,N
G10,CO2_T3_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,7.784280777,1.645943284,,,,0,0.02,1,3,39,,N,N,Y,N,Y
G10,CO2_T3_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,8.3701143265,,,,,1,0.02,1,3,39,,N,N,Y,N,Y
G11,CO2_T3_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,7.784280777,1.645943284,,,,0,0.02,1,3,39,,N,N,N,N,Y
G11,CO2_T3_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,8.3701143265,,,,,1,0.02,1,3,38,,N,N,N,N,Y
G12,CO2_T3_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,6.6204228401,7.784280777,1.645943284,,,,0,0.02,1,3,29,,Y,Y,N,Y,N
G12,CO2_T3_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,8.3701143265,,,,,1,0.02,1,3,27,,Y,Y,N,Y,N
H1,CO2_T3_R2_Ss_S1-3,C,UNKNOWN,VIC,NFQ-MGB,25.9513549805,25.5240707397,0.6042698026,,,,0,0.02,1,3,24,,N,Y,N,N,N
H1,CO2_T3_R2_Ss_S1-3,D,UNKNOWN,FAM,NFQ-MGB,31.6271018982,30.7985858917,1.1716985703,,,,1,0.02,1,3,30,,N,Y,N,N,N
H2,CO2_T3_R2_Ss_S1-20,C,UNKNOWN,VIC,NFQ-MGB,27.5337276459,27.4144935608,0.168623805,,,,0,0.02,1,3,26,,N,N,N,N,N
H2,CO2_T3_R2_Ss_S1-20,D,UNKNOWN,FAM,NFQ-MGB,26.2746505737,26.0290603638,0.3473156691,,,,1,0.02,1,3,24,,N,N,N,N,N
H3,CO2_T3_R2_Ss_S2-5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
H3,CO2_T3_R2_Ss_S2-5,D,UNKNOWN,FAM,NFQ-MGB,24.9283008575,24.7099952698,0.3087320626,,,,1,0.02,1,3,23,,N,N,Y,N,Y
H4,CO2_T3_R2_Ss_S2-27,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
H4,CO2_T3_R2_Ss_S2-27,D,UNKNOWN,FAM,NFQ-MGB,25.2101230621,25.2152271271,0.007218238,,,,1,0.02,1,3,23,,N,N,Y,N,Y
H5,CO2_T3_R2_Ss_S3-15,C,UNKNOWN,VIC,NFQ-MGB,27.1821174622,27.3997116089,0.3077245951,,,,0,0.02,1,3,25,,N,N,N,N,N
H5,CO2_T3_R2_Ss_S3-15,D,UNKNOWN,FAM,NFQ-MGB,26.8842163086,26.8184776306,0.092968531,,,,1,0.02,1,3,25,,N,N,N,N,N
H6,CO2_T3_R2_Ss_S3-24,C,UNKNOWN,VIC,NFQ-MGB,28.6650028229,28.501953125,0.230587095,,,,0,0.02,1,3,27,,N,N,N,N,N
H6,CO2_T3_R2_Ss_S3-24,D,UNKNOWN,FAM,NFQ-MGB,26.6308040619,26.7412338257,0.1561699212,,,,1,0.02,1,3,25,,N,N,N,N,N
H7,CO2_T3_R2_Ss_S4-6,C,UNKNOWN,VIC,NFQ-MGB,25.4736633301,25.4671993256,0.0091414824,,,,0,0.02,1,3,24,,N,N,N,N,N
H7,CO2_T3_R2_Ss_S4-6,D,UNKNOWN,FAM,NFQ-MGB,24.9593887329,25.1245727539,0.2336068302,,,,1,0.02,1,3,23,,N,N,N,N,N
H8,CO2_T3_R2_Ss_S4-20,C,UNKNOWN,VIC,NFQ-MGB,27.4689903259,27.5592021942,0.1275788546,,,,0,0.02,1,3,26,,N,N,N,N,N
H8,CO2_T3_R2_Ss_S4-20,D,UNKNOWN,FAM,NFQ-MGB,23.7182884216,23.6980857849,0.0285694934,,,,1,0.02,1,3,22,,N,N,N,N,N
H9,CO2_T3_R2_Ss_S5-16,C,UNKNOWN,VIC,NFQ-MGB,30.691318512,31.2696647644,0.8179064393,,,,0,0.02,1,3,29,,N,Y,N,N,N
H9,CO2_T3_R2_Ss_S5-16,D,UNKNOWN,FAM,NFQ-MGB,24.3058509827,24.2340278625,0.1015745774,,,,1,0.02,1,3,22,,N,Y,N,N,N
H10,CO2_T3_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,7.784280777,1.645943284,,,,0,0.02,1,3,39,,N,N,Y,N,Y
H10,CO2_T3_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,8.3701143265,,,,,1,0.02,1,3,39,,N,N,Y,N,Y
H11,CO2_T3_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,7.784280777,1.645943284,,,,0,0.02,1,3,38,,Y,N,N,Y,Y
H11,CO2_T3_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,8.3701143265,,,,,1,0.02,1,3,38,,Y,N,N,Y,Y
